iter	RMSE
1445	0.7099561521
1446	0.7099490546
1447	0.7099427582
1448	0.7099382761
1449	0.7099333915
1450	0.7099296607
1451	0.7099246969
1452	0.7099195417
1453	0.7099153201
1454	0.7099097138
1455	0.709906083
1456	0.7098998624
1457	0.709894386
1458	0.7098916986
1459	0.7098858838
1460	0.7098806401
1461	0.7098772521
1462	0.7098682948
1463	0.7098589506
1464	0.709855991
1465	0.7098526594
1466	0.7098489589
1467	0.7098435879
1468	0.7098382198
1469	0.7098346034
1470	0.7098303747
1471	0.7098274622
1472	0.7098191268
1473	0.7098113277
1474	0.7098039959
1475	0.7097967507
1476	0.7097893849
1477	0.7097827868
1478	0.7097776999
1479	0.7097706564
1480	0.7097644963
1481	0.7097618761
1482	0.7097567999
1483	0.709753073
1484	0.7097482724
1485	0.7097456661
1486	0.7097392675
1487	0.7097363269
1488	0.7097320215
1489	0.709723283
1490	0.7097204327
1491	0.7097118733
1492	0.7097041722
1493	0.7096988239
1494	0.7096949887
1495	0.7096903493
1496	0.7096844729
1497	0.7096778197
1498	0.7096719567
1499	0.7096651198
1500	0.7096578426
1501	0.7096517902
1502	0.7096476273
1503	0.7096413342
1504	0.7096340062
1505	0.709627461
1506	0.7096226745
1507	0.7096149194
1508	0.7096100386
