iter	Passed	Remaining
1511	57311	3335
1512	57357	3298
1513	57405	3260
1514	57452	3223
1515	57500	3186
1516	57550	3148
1517	57597	3111
1518	57642	3073
1519	57691	3036
1520	57749	2999
1521	57802	2962
1522	57860	2925
1523	57907	2887
1524	57953	2850
1525	57994	2812
1526	58033	2774
1527	58068	2736
1528	58110	2698
1529	58152	2660
1530	58188	2622
1531	58227	2584
1532	58261	2546
1533	58298	2508
1534	58336	2470
1535	58373	2432
1536	58411	2394
1537	58447	2356
1538	58482	2318
1539	58521	2280
1540	58559	2242
1541	58598	2204
1542	58635	2166
1543	58671	2127
1544	58711	2090
1545	58749	2052
1546	58787	2014
1547	58823	1975
1548	58861	1937
1549	58896	1899
1550	58936	1861
1551	58972	1823
1552	59010	1785
1553	59052	1748
1554	59089	1709
1555	59128	1672
1556	59165	1633
1557	59200	1595
1558	59234	1557
1559	59268	1519
1560	59308	1481
1561	59342	1443
1562	59379	1405
1563	59414	1367
1564	59451	1329
1565	59487	1291
1566	59523	1253
1567	59562	1215
1568	59596	1177
1569	59634	1139
1570	59673	1101
1571	59710	1063
1572	59748	1025
1573	59786	987
1574	59824	949
1575	59860	911
1576	59898	873
1577	59936	835
1578	59972	797
1579	60013	759
1580	60051	721
1581	60086	683
1582	60125	645
1583	60160	607
1584	60196	569
1585	60234	531
1586	60270	493
1587	60306	455
1588	60341	417
1589	60381	379
1590	60417	341
1591	60455	303
1592	60493	265
1593	60528	227
1594	60566	189
1595	60602	151
1596	60638	113
1597	60674	75
1598	60713	37
1599	60750	0
