iter	RMSE
1366	0.703917092
1367	0.7039010752
1368	0.7038876667
1369	0.7038674689
1370	0.7038486955
1371	0.7038288064
1372	0.7038100958
1373	0.7037878608
1374	0.7037626733
1375	0.7037465269
1376	0.7037265349
1377	0.703705857
1378	0.703687039
1379	0.7036675636
1380	0.7036522168
1381	0.7036321781
1382	0.7036147222
1383	0.7035955141
1384	0.7035820131
1385	0.7035669411
1386	0.7035490043
1387	0.703524611
1388	0.7035073083
1389	0.7034954625
1390	0.7034791577
1391	0.7034562421
1392	0.7034336342
1393	0.7034142209
1394	0.7033915793
1395	0.7033660115
1396	0.7033526871
1397	0.7033406536
1398	0.7033279155
1399	0.703308781
1400	0.7032916658
1401	0.7032689134
1402	0.7032583344
1403	0.703244215
1404	0.703221449
1405	0.7032115485
1406	0.7031966126
1407	0.7031744874
1408	0.7031588257
1409	0.7031416199
1410	0.7031282781
1411	0.7031124396
1412	0.7030894931
1413	0.7030746853
1414	0.7030547333
1415	0.7030347511
1416	0.7030245361
1417	0.7030105313
1418	0.7029931236
1419	0.702983137
1420	0.702962217
1421	0.7029428891
1422	0.7029225139
1423	0.7029056574
1424	0.702892041
1425	0.7028757274
1426	0.7028521767
1427	0.7028382304
1428	0.7028153042
1429	0.7028024006
1430	0.7027810618
1431	0.7027614759
1432	0.7027432973
1433	0.7027233454
1434	0.702704532
1435	0.7026850449
1436	0.7026708515
1437	0.7026572137
1438	0.7026409188
1439	0.7026303631
1440	0.7026153676
1441	0.7026006659
1442	0.70258191
1443	0.7025613458
1444	0.7025475918
1445	0.7025244269
1446	0.7025097061
1447	0.7024891994
1448	0.7024708771
1449	0.7024465087
1450	0.7024264326
1451	0.7024142433
1452	0.70239668
1453	0.7023730753
1454	0.7023543173
1455	0.702343862
1456	0.7023235078
1457	0.7023103123
1458	0.702293492
1459	0.7022801126
1460	0.7022659914
1461	0.702252793
1462	0.7022351907
1463	0.7022175379
1464	0.7022010809
1465	0.7021806789
1466	0.7021647572
1467	0.702143449
1468	0.7021284029
1469	0.7021118548
1470	0.7020909269
1471	0.7020746154
1472	0.7020503556
1473	0.7020364378
1474	0.7020138225
1475	0.7019972854
1476	0.7019785761
1477	0.7019570272
1478	0.7019394934
1479	0.7019210358
1480	0.7019075162
1481	0.7018829466
1482	0.7018688282
1483	0.7018503253
1484	0.7018281563
1485	0.7018062344
1486	0.7017886274
1487	0.701771112
1488	0.7017546174
1489	0.7017421612
1490	0.7017251744
1491	0.701712991
1492	0.7016967817
1493	0.7016827083
1494	0.7016694403
1495	0.7016490597
1496	0.7016340154
1497	0.7016175696
1498	0.7016037631
1499	0.701590023
1500	0.7015745945
1501	0.7015540224
1502	0.7015353215
1503	0.7015176676
1504	0.7015039166
1505	0.7014917217
1506	0.7014700855
1507	0.7014561794
1508	0.7014377536
1509	0.7014229257
